MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2480192,11,979919,RECOLETAS ZAMORA,AWAY,80.7,76.9,79.3,98.5,-19.2,44.0,38.9,16.2,20.0,67.9,43.1,0.9,34.9,200,12000.0,64.0,14.0,43.0,7.0,20.0,21.0,63.0,15.0,22.0,6.0,19.0,25.0,12.0,14.0,7.0,0.0,5.0,26.0,20.0,39.0,-40.0
2480193,12,981206,MCR LIMA-HORTA BARCELONA,AWAY,73.8,75.6,74.6,105.9,-31.3,46.0,39.4,25.1,20.0,67.9,43.1,0.3,61.7,200,12000.0,55.0,11.0,27.0,5.0,20.0,16.0,47.0,18.0,29.0,6.0,19.0,25.0,6.0,20.0,8.0,1.0,1.0,22.0,22.0,33.0,-135.0
2480193,12,979919,RECOLETAS ZAMORA,HOME,77.4,75.6,105.9,74.6,31.3,59.0,53.4,19.7,32.1,80.0,56.9,0.6,44.8,200,12000.0,82.0,22.0,44.0,6.0,14.0,28.0,58.0,20.0,26.0,9.0,24.0,33.0,10.0,17.0,11.0,1.0,1.0,22.0,22.0,84.0,135.0
2480194,12,981208,ALTER ENERSUN AL-QÁZERES EXTREMADURA,HOME,77.0,77.0,67.5,96.1,-28.6,37.7,29.8,15.8,13.2,66.7,33.9,0.6,25.8,200,12000.0,52.0,11.0,38.0,5.0,24.0,16.0,62.0,15.0,16.0,5.0,16.0,21.0,8.0,13.0,10.0,0.0,0.0,18.0,23.0,36.0,-110.0
2480194,12,981213,AZULMARINO MALLORCA PALMA,AWAY,77.0,77.1,96.1,67.5,28.6,57.8,51.9,24.7,33.3,86.8,66.1,0.7,47.2,200,12000.0,74.0,17.0,31.0,7.0,22.0,24.0,53.0,19.0,25.0,8.0,33.0,41.0,15.0,21.0,7.0,0.0,0.0,23.0,18.0,76.0,110.0
2480195,12,981306,CAJASOL BALONCESTO SEVILLA FEMENINO,AWAY,72.2,71.0,88.6,129.2,-40.6,48.3,42.1,18.5,28.1,47.1,37.9,0.7,36.8,200,12000.0,64.0,15.0,34.0,6.0,23.0,21.0,57.0,16.0,21.0,9.0,16.0,25.0,11.0,15.0,4.0,1.0,1.0,20.0,20.0,49.0,-130.0
2480195,12,979770,MELILLA CIUDAD DEL DEPORTE LA SALLE,HOME,69.7,71.0,129.2,88.6,40.6,59.5,56.1,13.7,52.9,71.9,62.1,1.6,33.3,200,12000.0,90.0,22.0,37.0,10.0,29.0,32.0,66.0,16.0,22.0,18.0,23.0,41.0,19.0,12.0,11.0,1.0,1.0,20.0,20.0,110.0,130.0
2480196,12,981288,SERNOVA RENOVABLES REAL CANOE,HOME,69.0,69.4,86.9,96.1,-9.2,50.0,44.3,18.9,16.1,65.6,41.3,0.6,30.2,200,12000.0,60.0,19.0,36.0,3.0,17.0,22.0,53.0,13.0,16.0,5.0,21.0,26.0,9.0,14.0,8.0,1.0,0.0,17.0,20.0,59.0,-35.0
2480196,12,981334,UNICAJA MIJAS,AWAY,69.7,69.4,96.1,86.9,9.2,49.5,46.0,16.1,34.4,83.9,58.7,0.9,21.0,200,12000.0,67.0,18.0,36.0,7.0,26.0,25.0,62.0,10.0,13.0,11.0,26.0,37.0,12.0,13.0,9.0,0.0,1.0,20.0,17.0,69.0,35.0
2480197,12,981356,BOSONIT UNIBASKET,AWAY,73.0,72.1,76.8,110.9,-34.1,45.9,45.6,28.2,37.5,59.0,49.3,0.4,15.8,200,12000.0,56.0,20.0,42.0,4.0,15.0,24.0,57.0,4.0,9.0,12.0,23.0,35.0,10.0,24.0,3.0,3.0,4.0,16.0,15.0,44.0,-115.0
2480197,12,979988,FUSTECMA NBF CASTELLÓ,HOME,71.2,72.1,110.9,76.8,34.1,52.5,50.0,13.8,41.0,62.5,50.7,1.3,31.8,200,12000.0,79.0,18.0,43.0,10.0,23.0,28.0,66.0,13.0,21.0,16.0,20.0,36.0,16.0,12.0,16.0,4.0,3.0,15.0,16.0,94.0,115.0
2480198,12,981242,C.B. SANTFELIUENC,AWAY,75.0,75.9,90.6,106.9,-16.3,51.5,53.4,18.5,17.1,75.0,46.5,1.3,27.1,200,12000.0,68.0,24.0,42.0,5.0,17.0,29.0,59.0,5.0,16.0,6.0,27.0,33.0,20.0,15.0,3.0,4.0,2.0,17.0,15.0,70.0,-70.0
2480198,12,979971,OSES CONSTRUCCION,HOME,76.7,75.9,106.9,90.6,16.3,52.1,50.7,8.2,25.0,82.9,53.5,3.3,17.8,200,12000.0,82.0,22.0,49.0,10.0,24.0,32.0,73.0,8.0,13.0,9.0,29.0,38.0,23.0,7.0,5.0,2.0,4.0,15.0,17.0,99.0,70.0
2480199,12,981492,CELTA  FEMXA ZORKA,HOME,70.7,75.1,104.7,71.7,33.0,53.9,48.3,11.6,24.1,67.6,48.5,2.1,37.3,200,12000.0,74.0,21.0,39.0,5.0,20.0,26.0,59.0,17.0,22.0,7.0,25.0,32.0,19.0,9.0,15.0,1.0,1.0,16.0,20.0,98.0,85.0
2480199,12,979912,DOMUSA TEKNIK ISB,AWAY,79.5,75.1,71.7,104.7,-33.0,39.9,34.4,21.9,32.4,75.9,51.5,0.5,26.6,200,12000.0,57.0,16.0,43.0,4.0,21.0,20.0,64.0,13.0,17.0,12.0,22.0,34.0,9.0,20.0,4.0,1.0,1.0,21.0,16.0,32.0,-85.0
2480200,12,981346,LA CORDÁ DE PATERNA NB,AWAY,78.2,68.6,97.2,91.8,5.4,51.9,49.3,19.7,41.9,91.4,68.2,0.6,20.9,225,13500.0,76.0,24.0,46.0,6.0,21.0,30.0,67.0,10.0,14.0,13.0,32.0,45.0,11.0,18.0,7.0,0.0,1.0,22.0,20.0,78.0,30.0
2480200,12,979952,LA LAGUNA TOYOTA  ADAREVA,HOME,76.3,68.6,91.8,97.2,-5.4,52.8,48.4,16.4,8.6,58.1,31.8,1.2,19.7,225,13500.0,70.0,16.0,36.0,9.0,25.0,25.0,61.0,11.0,12.0,3.0,18.0,21.0,15.0,13.0,8.0,1.0,0.0,20.0,22.0,67.0,-30.0
2480201,13,981346,LA CORDÁ DE PATERNA NB,AWAY,81.8,77.6,75.8,76.5,-0.7,38.8,36.6,18.4,37.2,74.4,54.9,0.7,28.2,200,12000.0,62.0,14.0,39.0,8.0,32.0,22.0,71.0,10.0,20.0,16.0,29.0,45.0,12.0,18.0,12.0,3.0,1.0,21.0,17.0,53.0,30.0
2480201,13,981206,MCR LIMA-HORTA BARCELONA,HOME,73.2,77.5,76.5,75.8,0.7,41.0,36.4,18.0,25.6,62.8,45.1,1.0,35.6,200,12000.0,56.0,14.0,43.0,5.0,16.0,19.0,59.0,13.0,21.0,10.0,27.0,37.0,15.0,15.0,9.0,1.0,3.0,17.0,20.0,58.0,-30.0
2480202,13,979912,DOMUSA TEKNIK ISB,HOME,76.4,77.5,117.9,106.8,11.1,59.7,59.0,14.7,36.4,76.7,55.6,1.5,28.4,200,12000.0,90.0,26.0,47.0,9.0,20.0,35.0,67.0,11.0,19.0,12.0,23.0,35.0,20.0,13.0,9.0,2.0,2.0,20.0,19.0,102.0,30.0
2480202,13,979952,LA LAGUNA TOYOTA  ADAREVA,AWAY,78.7,77.5,106.8,117.9,-11.1,60.3,54.2,18.7,23.3,63.6,44.4,1.0,36.7,200,12000.0,84.0,16.0,33.0,11.0,27.0,27.0,60.0,19.0,22.0,7.0,21.0,28.0,16.0,16.0,6.0,2.0,2.0,20.0,20.0,84.0,-30.0
2480203,13,981242,C.B. SANTFELIUENC,HOME,80.8,82.1,84.1,93.6,-9.5,49.4,46.1,19.8,15.2,71.1,45.1,0.8,17.2,200,12000.0,68.0,13.0,39.0,11.0,25.0,24.0,64.0,9.0,11.0,5.0,27.0,32.0,14.0,17.0,4.0,3.0,3.0,17.0,13.0,58.0,-50.0
2480203,13,981492,CELTA  FEMXA ZORKA,AWAY,83.4,82.0,93.6,84.1,9.5,47.9,44.5,13.8,28.9,84.8,54.9,1.5,26.0,200,12000.0,78.0,25.0,56.0,5.0,17.0,30.0,73.0,13.0,19.0,11.0,28.0,39.0,20.0,13.0,12.0,3.0,3.0,13.0,17.0,94.0,50.0
2480204,13,981356,BOSONIT UNIBASKET,HOME,76.4,75.8,90.4,97.0,-6.6,47.0,44.6,17.0,36.4,83.3,58.7,0.9,29.2,200,12000.0,69.0,20.0,42.0,6.0,23.0,26.0,65.0,11.0,19.0,12.0,25.0,37.0,13.0,15.0,9.0,3.0,1.0,23.0,17.0,63.0,-20.0
2480204,13,979971,OSES CONSTRUCCION,AWAY,75.2,75.8,97.0,90.4,6.6,55.1,51.8,17.4,16.7,63.6,41.3,1.4,36.8,200,12000.0,73.0,13.0,32.0,11.0,25.0,24.0,57.0,14.0,21.0,5.0,21.0,26.0,19.0,14.0,4.0,1.0,3.0,17.0,22.0,74.0,20.0
2480205,13,979988,FUSTECMA NBF CASTELLÓ,AWAY,74.7,75.0,92.4,102.3,-9.9,51.7,49.1,20.3,30.0,50.0,40.6,0.4,38.6,200,12000.0,69.0,22.0,43.0,4.0,14.0,26.0,57.0,13.0,22.0,9.0,17.0,26.0,6.0,17.0,10.0,1.0,2.0,20.0,21.0,56.0,-40.0
2480205,13,981334,UNICAJA MIJAS,HOME,75.2,75.0,102.3,92.4,9.9,52.6,46.9,20.6,50.0,70.0,59.4,0.8,32.8,200,12000.0,77.0,18.0,37.0,8.0,27.0,26.0,64.0,17.0,21.0,17.0,21.0,38.0,15.0,19.0,7.0,2.0,1.0,21.0,20.0,77.0,40.0
2480206,13,981306,CAJASOL BALONCESTO SEVILLA FEMENINO,HOME,71.2,73.1,80.1,89.3,-9.2,45.1,43.4,24.0,37.5,65.8,52.9,0.5,8.2,200,12000.0,57.0,16.0,37.0,7.0,24.0,23.0,61.0,4.0,5.0,12.0,25.0,37.0,10.0,20.0,6.0,2.0,3.0,24.0,14.0,43.0,-50.0
2480206,13,981288,SERNOVA RENOVABLES REAL CANOE,AWAY,75.0,73.1,89.3,80.1,9.2,44.7,43.0,14.8,34.2,62.5,47.1,0.8,39.1,200,12000.0,67.0,20.0,42.0,5.0,22.0,25.0,64.0,12.0,25.0,13.0,20.0,33.0,11.0,13.0,13.0,3.0,2.0,14.0,24.0,72.0,50.0
2480207,13,981213,AZULMARINO MALLORCA PALMA,HOME,85.1,80.5,95.2,79.0,16.2,54.6,54.7,21.2,37.5,71.1,58.1,1.2,35.9,200,12000.0,81.0,23.0,37.0,8.0,27.0,31.0,64.0,11.0,23.0,9.0,27.0,36.0,24.0,20.0,14.0,1.0,3.0,19.0,22.0,94.0,105.0
2480207,13,979770,MELILLA CIUDAD DEL DEPORTE LA SALLE,AWAY,75.9,80.4,79.0,95.2,-16.2,42.9,38.7,19.6,28.9,62.5,41.9,0.6,29.0,200,12000.0,60.0,18.0,37.0,4.0,25.0,22.0,62.0,12.0,18.0,11.0,15.0,26.0,10.0,17.0,14.0,3.0,1.0,22.0,19.0,47.0,-105.0
2480208,13,981208,ALTER ENERSUN AL-QÁZERES EXTREMADURA,AWAY,68.3,70.8,83.5,72.3,11.2,41.7,38.1,14.9,30.0,63.9,46.1,0.8,19.0,200,12000.0,57.0,18.0,43.0,4.0,20.0,22.0,63.0,9.0,12.0,12.0,23.0,35.0,10.0,12.0,8.0,2.0,0.0,14.0,18.0,60.0,20.0
2480208,13,979919,RECOLETAS ZAMORA,HOME,73.3,70.9,72.3,83.5,-11.2,40.0,36.9,23.2,36.1,70.0,53.9,0.6,19.7,200,12000.0,53.0,15.0,38.0,5.0,23.0,20.0,61.0,8.0,12.0,13.0,28.0,41.0,11.0,20.0,8.0,0.0,2.0,18.0,13.0,43.0,-20.0
2480209,14,981208,ALTER ENERSUN AL-QÁZERES EXTREMADURA,AWAY,82.3,82.5,69.2,61.8,7.4,41.1,35.1,24.1,20.9,82.1,50.0,0.5,49.1,200,12000.0,57.0,11.0,35.0,6.0,22.0,17.0,57.0,17.0,28.0,9.0,32.0,41.0,11.0,22.0,10.0,2.0,2.0,14.0,22.0,56.0,30.0
2480209,14,981206,MCR LIMA-HORTA BARCELONA,HOME,82.5,82.4,61.8,69.2,-7.4,37.2,35.4,23.5,17.9,79.1,50.0,0.7,12.3,200,12000.0,51.0,17.0,40.0,4.0,25.0,21.0,65.0,5.0,8.0,7.0,34.0,41.0,14.0,21.0,10.0,2.0,2.0,23.0,14.0,41.0,-30.0
2480210,14,979770,MELILLA CIUDAD DEL DEPORTE LA SALLE,HOME,72.4,72.0,77.4,100.4,-23.0,43.5,37.5,24.6,39.4,80.6,59.4,0.5,33.9,200,12000.0,56.0,15.0,35.0,4.0,21.0,19.0,56.0,14.0,19.0,13.0,25.0,38.0,10.0,21.0,5.0,1.0,1.0,21.0,22.0,48.0,-80.0
