MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2487118,13,981440,RECOLETAS SALUD CARBAJOSA,HOME,87.0,87.5,100.0,93.1,6.9,51.8,48.6,15.2,30.8,78.9,54.5,0.9,34.2,200,12000.0,87.0,22.0,49.0,9.0,24.0,31.0,73.0,16.0,25.0,12.0,30.0,42.0,13.0,15.0,6.0,2.0,1.0,21.0,20.0,83.0,25.0
2487119,13,983015,CONSTRUCCIONES GONZALO CRESPO PAS PIÉLAGOS,AWAY,83.8,83.8,99.0,106.4,-7.4,48.9,39.9,8.6,22.5,44.4,32.9,0.8,52.2,200,12000.0,83.0,20.0,41.0,5.0,28.0,25.0,69.0,28.0,36.0,9.0,16.0,25.0,6.0,8.0,12.0,1.0,4.0,21.0,24.0,70.0,-30.0
2487119,13,981230,ULACIA ZKE,HOME,83.7,83.8,106.4,99.0,7.4,54.5,51.4,21.2,55.6,77.5,67.1,1.0,30.6,200,12000.0,89.0,28.0,50.0,6.0,22.0,34.0,72.0,15.0,22.0,20.0,31.0,51.0,21.0,22.0,6.0,4.0,1.0,25.0,20.0,99.0,30.0
2487120,13,982049,CAJA RURAL DE ZAMORA CBCV BOECILLO,AWAY,79.0,79.8,88.6,90.7,-2.1,50.0,46.8,19.5,22.9,69.0,48.1,0.9,25.4,200,12000.0,70.0,22.0,42.0,5.0,21.0,27.0,63.0,11.0,16.0,8.0,29.0,37.0,15.0,17.0,8.0,1.0,2.0,22.0,19.0,70.0,-15.0
2487120,13,979777,UNIVERSIDAD DEUSTO LOIOLA INDAUTXU,HOME,80.5,79.7,90.7,88.6,2.1,45.4,42.5,13.9,31.0,77.1,51.9,1.3,23.3,200,12000.0,73.0,19.0,38.0,8.0,35.0,27.0,73.0,11.0,17.0,13.0,27.0,40.0,17.0,13.0,10.0,2.0,1.0,19.0,22.0,80.0,15.0
2487121,13,981221,HOTEL 4POSTES - ÁVILA AUTÉNTICA - EL BULEVAR,AWAY,79.2,77.4,103.5,82.1,21.4,46.5,42.4,8.3,37.8,65.9,51.2,1.5,26.6,200,12000.0,82.0,23.0,57.0,7.0,22.0,30.0,79.0,15.0,21.0,17.0,27.0,44.0,12.0,8.0,10.0,1.0,3.0,20.0,19.0,85.0,100.0
2487121,13,979970,MEGACALZADO ARDOI,HOME,75.5,77.3,82.1,103.5,-21.4,42.2,38.6,17.9,34.1,62.2,48.8,0.9,25.8,200,12000.0,62.0,12.0,29.0,9.0,37.0,21.0,66.0,11.0,17.0,14.0,28.0,42.0,14.0,16.0,3.0,3.0,1.0,19.0,20.0,58.0,-100.0
2487122,14,981221,HOTEL 4POSTES - ÁVILA AUTÉNTICA - EL BULEVAR,HOME,80.8,82.3,92.9,74.0,18.9,48.9,41.4,20.7,41.0,73.6,59.8,0.4,45.3,200,12000.0,75.0,19.0,45.0,5.0,19.0,24.0,64.0,22.0,29.0,16.0,39.0,55.0,8.0,20.0,4.0,3.0,1.0,21.0,25.0,82.0,65.0
2487122,14,979921,IRUKI TAKE,AWAY,83.8,82.3,74.0,92.9,-18.9,36.1,31.2,12.3,26.4,59.0,40.2,1.0,26.0,200,12000.0,62.0,12.0,39.0,8.0,38.0,20.0,77.0,14.0,20.0,14.0,23.0,37.0,12.0,12.0,13.0,1.0,3.0,25.0,21.0,46.0,-65.0
2487123,14,982049,CAJA RURAL DE ZAMORA CBCV BOECILLO,AWAY,83.4,83.3,98.4,104.5,-6.1,48.0,44.8,12.3,29.2,68.3,47.2,1.0,24.7,200,12000.0,82.0,18.0,46.0,11.0,31.0,29.0,77.0,13.0,19.0,14.0,28.0,42.0,12.0,12.0,9.0,2.0,0.0,21.0,23.0,83.0,-25.0
